# P [mbar],T_surf [°C],T_res [°C],T_ext [°C],T_needle [°C],time_H,time_M,time_S
5.523253249187703204e+02,1.914099508388378013e+01,1.899336525495492722e+01,2.208237759444719117e+01,1.887322448316879431e+01,1.800000000000000000e+01,4.700000000000000000e+01,1.000000000000000000e+01
5.582800393651587001e+02,1.928863139057423481e+01,1.906717935975219191e+01,2.204858108156079766e+01,1.897451936002966022e+01,1.800000000000000000e+01,5.500000000000000000e+01,2.400000000000000000e+01
5.620409116470882509e+02,3.049097638046675840e+01,1.925172170656460580e+01,2.211617444710433489e+01,1.941349906827649008e+01,1.900000000000000000e+01,1.000000000000000000e+00,2.900000000000000000e+01
5.642347538115470797e+02,3.163920186662908662e+01,1.928863139057423481e+01,2.208237759444719117e+01,1.968366889862461022e+01,1.900000000000000000e+01,5.000000000000000000e+00,3.500000000000000000e+01
5.676822200699824634e+02,4.005919025994948157e+01,1.943627417588013273e+01,2.211617444710433489e+01,2.029163036122621833e+01,1.900000000000000000e+01,1.100000000000000000e+01,1.500000000000000000e+01
5.695626562109472388e+02,4.109924853875646278e+01,1.951009799827989966e+01,2.211617444710433489e+01,2.056187073189853365e+01,1.900000000000000000e+01,1.300000000000000000e+01,8.000000000000000000e+00
5.792782429392651693e+02,4.958037121208424480e+01,2.087613102769059026e+01,2.211617444710433489e+01,2.127135503827283358e+01,1.900000000000000000e+01,1.800000000000000000e+01,4.600000000000000000e+01
5.817854911272181653e+02,4.864937079769430284e+01,2.109770218736864678e+01,2.208237759444719117e+01,2.144030193868368883e+01,1.900000000000000000e+01,2.100000000000000000e+01,2.000000000000000000e+01
5.874267995501124915e+02,6.032430350793392648e+01,2.205801263237380638e+01,2.218376917177067398e+01,2.235276193013843482e+01,1.900000000000000000e+01,3.000000000000000000e+01,1.400000000000000000e+01
5.883670176205948792e+02,6.290353207306804961e+01,2.194719358142210552e+01,2.218376917177067398e+01,2.265697030676956558e+01,1.900000000000000000e+01,3.200000000000000000e+01,1.800000000000000000e+01
5.902474537615595409e+02,6.503571103490777716e+01,2.198413285918004689e+01,2.218376917177067398e+01,2.275837921761710803e+01,1.900000000000000000e+01,3.400000000000000000e+01,2.300000000000000000e+01
5.899340477380654875e+02,6.645792502420046333e+01,2.198413285918004689e+01,2.214997163954199166e+01,2.275837921761710803e+01,1.900000000000000000e+01,3.500000000000000000e+01,5.400000000000000000e+01
5.911876718320419286e+02,6.862984901017485129e+01,2.202107254282610782e+01,2.218376917177067398e+01,2.316404546157896149e+01,1.900000000000000000e+01,3.800000000000000000e+01,4.300000000000000000e+01
5.921278899025243163e+02,6.986623421491374586e+01,2.202107254282610782e+01,2.221756704380089431e+01,2.302881793955486600e+01,1.900000000000000000e+01,4.000000000000000000e+01,3.500000000000000000e+01
