# P [mbar],T_surf [°C],T_res [°C],T_ext [°C],T_needle [°C],time_H,time_M,time_S
1.000809344538865275e+03,2.013766590588252825e+01,1.954701051696361347e+01,2.191339842751545675e+01,1.941349906827649008e+01,1.800000000000000000e+01,1.700000000000000000e+01,1.000000000000000000e+01
1.000809344538865275e+03,2.013766590588252825e+01,1.951009799827989966e+01,2.187960361332773829e+01,1.941349906827649008e+01,1.800000000000000000e+01,1.700000000000000000e+01,5.300000000000000000e+01
5.648615658585354140e+02,2.390553493017659648e+01,2.002691012031514362e+01,2.238656150132842626e+01,1.964989648328328542e+01,1.900000000000000000e+01,5.700000000000000000e+01,3.100000000000000000e+01
5.752039646338415650e+02,2.416426912722034004e+01,1.998999233550396681e+01,2.242036141238115832e+01,2.032540922015471097e+01,2.000000000000000000e+01,1.200000000000000000e+01,1.400000000000000000e+01
5.761441827043239527e+02,2.379465494477161513e+01,2.002691012031514362e+01,2.242036141238115832e+01,2.005518784654318765e+01,2.000000000000000000e+01,1.400000000000000000e+01,5.900000000000000000e+01
5.773978067983005076e+02,2.601295032642847715e+01,2.002691012031514362e+01,2.242036141238115832e+01,2.025785184152590546e+01,2.000000000000000000e+01,1.800000000000000000e+01,3.100000000000000000e+01
5.786514308922768350e+02,2.501453610356842105e+01,1.998999233550396681e+01,2.242036141238115832e+01,2.015651831769191205e+01,2.000000000000000000e+01,2.300000000000000000e+01,1.300000000000000000e+01
5.786514308922768350e+02,2.442302325152903819e+01,1.998999233550396681e+01,2.245416166330714347e+01,2.012274115480218839e+01,2.000000000000000000e+01,2.600000000000000000e+01,1.000000000000000000e+00
5.805318670332417241e+02,2.582803640726795535e+01,1.998999233550396681e+01,2.242036141238115832e+01,2.012274115480218839e+01,2.000000000000000000e+01,3.100000000000000000e+01,5.200000000000000000e+01
5.805318670332417241e+02,2.653076348312578148e+01,1.998999233550396681e+01,2.245416166330714347e+01,2.035918841832114623e+01,2.000000000000000000e+01,3.400000000000000000e+01,3.700000000000000000e+01
5.808452730567357776e+02,2.612390356602852748e+01,1.995307495585960922e+01,2.245416166330714347e+01,2.029163036122621833e+01,2.000000000000000000e+01,3.600000000000000000e+01,0.000000000000000000e+00
5.805318670332417241e+02,2.564313267019904430e+01,1.995307495585960922e+01,2.242036141238115832e+01,2.022407366104400950e+01,2.000000000000000000e+01,3.700000000000000000e+01,4.100000000000000000e+01
5.808452730567357776e+02,2.479270657737608019e+01,1.998999233550396681e+01,2.245416166330714347e+01,2.019029581976926480e+01,2.000000000000000000e+01,4.100000000000000000e+01,1.000000000000000000e+01
5.808452730567357776e+02,2.442302325152903819e+01,1.998999233550396681e+01,2.245416166330714347e+01,2.012274115480218839e+01,2.000000000000000000e+01,4.200000000000000000e+01,4.400000000000000000e+01
5.811586790802299447e+02,2.397945695334874827e+01,2.002691012031514362e+01,2.245416166330714347e+01,2.005518784654318765e+01,2.000000000000000000e+01,4.400000000000000000e+01,4.600000000000000000e+01
5.811586790802299447e+02,2.375769576274356609e+01,1.998999233550396681e+01,2.242036141238115832e+01,2.005518784654318765e+01,2.000000000000000000e+01,4.600000000000000000e+01,2.700000000000000000e+01
