H_mm,P_mbar,Tneedle_C,Tres_C,Tsurf_C,Dd_m,U_m_s,We,Ja,Dmaxb_m,Dmaxf_m,tmaxb_s,tmaxf_s,sourceb,sourcef,startframe,impactframe,endframe
1460,587.1133935,20.12274115,20.72842503,20.83920392,0.001278655,2.252334169,700.9717582,0.001014173,0.0077896,0.007613532,0.020078125,0.00890625,20221125__bottom__n7000_n7000_12800fps_20221125_173213,20221125__front__n7000_n7000_20221125_174529,1,149,499
1460,588.0536116,20.12274115,20.65457447,20.91305854,0.001320991,2.260509955,729.5553733,0.002366404,0.007882731,0.007769547,0.01625,0.00828125,20221125__bottom__n7000_n7000_12800fps_20221125_173604,20221125__front__n7000_n7000_20221125_174936,1,149,499
1460,588.6804236,20.19029582,20.80227722,20.91305854,0.001293673,2.268501849,719.6379224,0.001014195,0.008167563,0.007775788,0.012890625,0.004375,20221125__bottom__n7000_n7000_12800fps_20221125_173831,20221125__front__n7000_n7000_20221125_175220,1,147,497
1390,590.5608598,20.29163036,20.83920392,21.02384351,0.001300799,2.059090837,593.6435682,0.001690362,0.012860413,0.008574584,0.00640625,0.0053125,20221125__bottom__n7000_n7000_12800fps_20221125_174400,20221125__front__n7000_n7000_20221125_175749,1,162,512
1390,591.5010779,20.32540922,20.87613103,21.02384351,0.001296214,2.066537919,595.9386514,0.001352297,0.008467191,0.008487216,0.00515625,0.007734375,20221125__bottom__n7000_n7000_12800fps_20221125_174934,20221125__front__n7000_n7000_20221125_180038,1,165,515
1390,592.1278899,20.35918842,20.91305854,21.06077265,0.001279693,2.077460034,594.7161498,0.001352312,0.007617077,0.007363908,0.01,0.0046875,20221125__bottom__n7000_n7000_12800fps_20221125_175656,20221125__front__n7000_n7000_20221125_181049,1,162,512
1330,592.7547019,20.39296796,20.94998646,20.98691478,0.001286292,1.890577683,486.7172934,0.000338076,0.007368882,0.007207893,0.010234375,0.005234375,20221125__bottom__n7000_n7000_12800fps_20221125_175932,20221125__front__n7000_n7000_20221125_181326,1,181,531
1330,593.381514,20.35918842,20.91305854,21.02384351,0.001297148,1.880541594,485.4656054,0.001014229,0.007256582,0.007001953,0.0071875,0.005078125,20221125__bottom__n7000_n7000_12800fps_20221125_180201,20221125__front__n7000_n7000_20221125_181556,1,190,540
1330,592.7547019,20.39296796,20.94998646,21.02384351,0.001268152,1.89056806,479.848584,0.000676156,0.007458348,0.007207893,0.025234375,0.00546875,20221125__bottom__n7000_n7000_12800fps_20221125_180409,20221125__front__n7000_n7000_20221125_181801,1,177,527
1280,593.69492,20.46052805,20.98691478,21.09770219,0.001273746,1.697574426,385.8027871,0.001014251,0.007033096,0.006895863,0.02734375,0.00625,20221125__bottom__n7000_n7000_12800fps_20221125_181036,20221125__front__n7000_n7000_20221125_182426,1,213,563
1280,594.3217321,20.5280895,20.98691478,21.09770219,0.001262482,1.694296939,380.8631764,0.001014251,0.006942197,0.006839698,0.02734375,0.010625,20221125__bottom__n7000_n7000_12800fps_20221125_181528,20221125__front__n7000_n7000_20221125_182914,1,208,558
1280,595.2619501,20.5280895,21.02384351,21.13463213,0.001305711,1.703403882,398.3017813,0.001014262,0.00706309,0.006958269,0.026875,0.01078125,20221125__bottom__n7000_n7000_12800fps_20221125_182112,20221125__front__n7000_n7000_20221125_183505,1,199,549
1250,590,20.3,20.5,29.9,0.001294228,1.502738528,304.3822468,0.086056338,0.006521992,0.006390374,0.005703125,0.005703125,20221124__bottom__n7000_n7000_12800fps_20221124_144036,20221124__front__n7000_n7000_20221124_145459,1,226,576
1250,592,20.4,20.5,33.1,0.001292972,1.507203605,305.9682728,0.115352113,0.00648845,0.006490224,0.005,0.004765625,20221124__bottom__n7000_n7000_12800fps_20221124_144419,20221124__front__n7000_n7000_20221124_145830,1,228,578
1250,594,20.5,20.6,31.9,0.001266314,1.509957743,300.7993513,0.103450704,0.006385192,0.006303006,0.00515625,0.00515625,20221124__bottom__n7000_n7000_12800fps_20221124_144715,20221124__front__n7000_n7000_20221124_150118,1,232,582
1220,596,20.6,20.7,29.9,0.001249867,1.36367039,240.0888951,0.084225352,0.006049945,0.006084585,0.00546875,0.005234375,20221124__bottom__n7000_n7000_12800fps_20221124_145033,20221124__front__n7000_n7000_20221124_150444,1,261,611
1220,597,20.6,20.7,30.8,0.001304837,1.356013562,247.7176287,0.092464789,0.006346179,0.006334209,0.005234375,0.00546875,20221124__bottom__n7000_n7000_12800fps_20221124_145500,20221124__front__n7000_n7000_20221124_150910,1,259,609
1220,597,20.7,20.7,33,0.001269639,1.36640525,244.9085488,0.112605634,0.00639775,0.006303006,0.005546875,0.00578125,20221124__bottom__n7000_n7000_12800fps_20221124_145728,20221124__front__n7000_n7000_20221124_151138,1,263,613
