Hmm,Pmbar,T_needleC,T_resC,T_surfC,D_d [m],U [m/s],We,Dmax_b,Dmax_f,source_b,source_f,startframe,impactframe,endframe
1250,591,20.3,20.4,25.8,0.001295753,1.464957996,313.9633121,0.006562534,0.006493526,20221122/bottom/n7000_n7000_12800fps_20221122_153453,20221122/front/n7000_n7000_12800fps_2211_1550,1,271,600
1250,593,20.4,20.5,25.8,0.001320052,1.463449978,319.1929558,0.006678398,0.006555963,20221122/bottom/n7000_n7000_12800fps_20221122_153831,20221122/front/n7000_n7000_12800fps_2211_1552,1,268,1000
1250,594,20.5,20.6,25.3,0.001291911,1.462998866,312.1957374,0.006650432,0.006537232,20221122/bottom/n7000_n7000_12800fps_20221122_154207,20221122/front/n7000_n7000_12800fps_2211_1556,1,256,600
1220,596,20.4,20.7,24.9,0.001275723,1.310750976,247.458917,0.006499006,0.006337431,20221122/bottom/n7000_n7000_12800fps_20221122_154752,20221122/front/n7000_n7000_12800fps_2211_1602,1,305,600
1220,597,20.5,20.7,26.2,0.001293728,1.30619834,249.211248,0.00635223,0.006306212,20221122/bottom/n7000_n7000_12800fps_20221122_155211,20221122/front/n7000_n7000_12800fps_2211_1606,1,296,646
1220,599,20.6,20.8,25.6,0.001251113,1.310068063,242.4323277,0.006195921,0.006068949,20221122/bottom/n7000_n7000_12800fps_20221122_155519,20221122/front/n7000_n7000_12800fps_2211_1609,1,307,657
1190,600,20.7,20.8,25.8,0.001296081,1.150487033,193.6877223,0.006249263,0.006118899,20221122/bottom/n7000_n7000_12800fps_20221122_160120,20221122/front/n7000_n7000_12800fps_2211_1615,1,352,702
1190,601,20.8,20.9,25.9,0.001265481,1.15190658,189.5817907,0.006000056,0.005931586,20221122/bottom/n7000_n7000_12800fps_20221122_160438,20221122/front/n7000_n7000_12800fps_2211_1618,1,340,690
1190,601,20.8,21,25.1,0.001259852,1.151079216,188.4674196,0.00609179,0.006025242,20221122/bottom/n7000_n7000_12800fps_20221122_160900,20221122/front/n7000_n7000_12800fps_2211_1623,1,355,705
1170,602,20.8,20.9,25.3,0.00125807,1.000820794,142.2734301,0.006043846,0.005844173,20221122/bottom/n7000_n7000_12800fps_20221122_161230,20221122/front/n7000_n7000_12800fps_2211_1626,1,421,771
1170,603,20.8,20.9,25.5,0.001261825,0.998855554,142.1382154,0.006043776,0.005962805,20221122/bottom/n7000_n7000_12800fps_20221122_161230,20221122/front/n7000_n7000_12800fps_2211_1632,1,403,753
1170,603,20.8,21,24.9,0.001250948,1.000211491,141.2957789,0.006166719,0.005744273,20221122/bottom/n7000_n7000_12800fps_20221122_161808,20221122/front/n7000_n7000_12800fps_2211_1638,1,411,761
1250,590,20.3,20.5,29.9,0.001288623,1.443080052,302.9794926,0.006469075,0.006390358,20221124/bottom/n7000_n7000_12800fps_20221124_144036,20221124/front/n7000_n7000_20221124_145459,1,226,576
1250,592,20.4,20.5,33.1,0.001280246,1.447075077,302.6787857,0.006443044,0.006490207,20221124/bottom/n7000_n7000_12800fps_20221124_144419,20221124/front/n7000_n7000_20221124_145830,1,228,578
1250,594,20.5,20.6,31.9,0.001256155,1.450512362,298.3955536,0.00631967,0.00630299,20221124/bottom/n7000_n7000_12800fps_20221124_144715,20221124/front/n7000_n7000_20221124_150118,1,232,582
