# P [mbar],T_surf [°C],T_res [°C],T_ext [°C],T_needle [°C],H [mm],time_H,time_M,time_S
6.06E+02,2.58E+01,2.06E+01,2.13E+01,2.05E+01,1.46E+03,18.00,18.00,2.20E+01
6.07E+02,2.49E+01,2.07E+01,2.13E+01,2.06E+01,1.46E+03,18.00,23.00,3.00E+00
6.08E+02,2.56E+01,2.09E+01,2.13E+01,2.06E+01,1.46E+03,18.00,25.00,5.20E+01
6.10E+02,2.67E+01,2.08E+01,2.13E+01,2.06E+01,1.39E+03,18.00,28.00,2.60E+01
6.11E+02,2.55E+01,2.09E+01,2.13E+01,2.07E+01,1.39E+03,18.00,34.00,2.50E+01
6.11E+02,2.51E+01,2.08E+01,2.13E+01,2.08E+01,1.39E+03,18.00,36.00,5.60E+01
6.12E+02,2.57E+01,2.10E+01,2.13E+01,2.07E+01,1.33E+03,18.00,40.00,3.40E+01
6.12E+02,2.64E+01,2.10E+01,2.13E+01,2.08E+01,1.33E+03,18.00,43.00,5.50E+01
6.13E+02,2.58E+01,2.10E+01,2.13E+01,2.08E+01,1.33E+03,18.00,46.00,5.90E+01
6.13E+02,2.53E+01,2.09E+01,2.13E+01,2.09E+01,1.28E+03,18.00,49.00,4.00E+01
6.13E+02,2.49E+01,2.10E+01,2.14E+01,2.09E+01,1.28E+03,18.00,52.00,5.00E+00
