P_mbar,Tsurf_C,Tres_C,Text_C,Tneedle_C,H_mm,time_H,time_M,time_S
5.91E+02,2.58E+01,2.04E+01,2.12E+01,2.03E+01,1.25E+03,1.50E+01,4.70E+01,3.40E+01
5.93E+02,2.58E+01,2.05E+01,2.11E+01,2.04E+01,1.25E+03,1.50E+01,5.10E+01,3.20E+01
5.94E+02,2.53E+01,2.06E+01,2.11E+01,2.05E+01,1.25E+03,1.50E+01,5.40E+01,1.30E+01
5.96E+02,2.49E+01,2.07E+01,2.11E+01,2.04E+01,1.22E+03,1.50E+01,5.70E+01,1.60E+01
5.97E+02,2.62E+01,2.07E+01,2.12E+01,2.05E+01,1.22E+03,1.60E+01,1.00E+00,8.00E+00
5.99E+02,2.56E+01,2.08E+01,2.12E+01,2.06E+01,1.22E+03,1.60E+01,4.00E+00,2.50E+01
6.00E+02,2.58E+01,2.08E+01,2.12E+01,2.07E+01,1.19E+03,1.60E+01,1.00E+01,5.50E+01
6.01E+02,2.59E+01,2.09E+01,2.12E+01,2.08E+01,1.19E+03,1.60E+01,1.30E+01,4.30E+01
6.01E+02,2.51E+01,2.10E+01,2.12E+01,2.08E+01,1.19E+03,1.60E+01,1.80E+01,1.90E+01
6.02E+02,2.53E+01,2.09E+01,2.12E+01,2.08E+01,1.17E+03,1.60E+01,2.10E+01,4.50E+01
6.03E+02,2.55E+01,2.09E+01,2.12E+01,2.08E+01,1.17E+03,1.60E+01,2.70E+01,2.90E+01
6.03E+02,2.49E+01,2.10E+01,2.12E+01,2.08E+01,1.17E+03,1.60E+01,3.20E+01,1.70E+01
