P_mbar,Tsurf_C,Tres_C,Text_C,Tneedle_C,H_mm,time_H,time_M,time_S
601.00,43.90,21.10,22.00,20.90,1380.00,17.00,7.00,2.00
604.00,44.50,21.20,22.10,21.00,1380.00,17.00,22.00,14.00
605.00,44.60,21.30,22.00,21.00,1380.00,17.00,29.00,50.00
606.00,45.10,21.30,22.10,21.10,1260.00,17.00,41.00,26.00
607.00,45.00,21.30,22.10,21.20,1260.00,17.00,48.00,13.00
608.00,45.00,21.30,22.10,21.30,1260.00,17.00,55.00,25.00
610.00,45.00,21.30,22.10,21.30,1190.00,18.00,2.00,16.00
611.00,45.10,21.30,22.10,21.40,1190.00,18.00,6.00,58.00
612.00,44.80,21.30,22.10,21.40,1190.00,18.00,11.00,56.00
613.00,45.20,21.30,22.10,21.40,1150.00,18.00,16.00,17.00
613.00,44.80,21.30,22.10,21.50,1150.00,18.00,21.00,19.00
615.00,45.00,21.30,22.10,21.50,1150.00,18.00,25.00,53.00
