# P [mbar],T_surf [°C],T_res [°C],T_ext [°C],T_needle [°C],time_H,time_M,time_S
1.005197028867783160e+03,2.590200075298701421e+01,2.050687819910634246e+01,2.242036141238115832e+01,2.042674783241027114e+01,1.500000000000000000e+01,2.200000000000000000e+01,2.700000000000000000e+01
1.005510434891277214e+03,2.501453610356842105e+01,2.054380165765318722e+01,2.238656150132842626e+01,2.029163036122621833e+01,1.500000000000000000e+01,2.700000000000000000e+01,4.500000000000000000e+01
1.005197028867783160e+03,2.431212618645687584e+01,2.061764979086125038e+01,2.238656150132842626e+01,2.066321646923264055e+01,1.500000000000000000e+01,3.900000000000000000e+01,5.000000000000000000e+00
1.005197028867783160e+03,2.471876665737910983e+01,2.061764979086125038e+01,2.242036141238115832e+01,2.049430860357545114e+01,1.500000000000000000e+01,4.000000000000000000e+01,5.300000000000000000e+01
1.004883622844288880e+03,2.431212618645687584e+01,2.061764979086125038e+01,2.242036141238115832e+01,2.049430860357545114e+01,1.500000000000000000e+01,4.300000000000000000e+01,5.800000000000000000e+01
1.005510434891277214e+03,2.409034303772907037e+01,2.061764979086125038e+01,2.242036141238115832e+01,2.049430860357545114e+01,1.500000000000000000e+01,4.600000000000000000e+01,2.900000000000000000e+01
1.005197028867783160e+03,2.638280871775335967e+01,2.058072552156698265e+01,2.252176318481869188e+01,2.069699906034509596e+01,1.500000000000000000e+01,5.600000000000000000e+01,3.500000000000000000e+01
1.005197028867783160e+03,2.597596672794822581e+01,2.058072552156698265e+01,2.252176318481869188e+01,2.062943421746100725e+01,1.500000000000000000e+01,5.800000000000000000e+01,3.700000000000000000e+01
1.004883622844288880e+03,2.564313267019904430e+01,2.058072552156698265e+01,2.252176318481869188e+01,2.062943421746100725e+01,1.600000000000000000e+01,0.000000000000000000e+00,4.200000000000000000e+01
1.005823840914771495e+03,2.538428454101416065e+01,2.058072552156698265e+01,2.252176318481869188e+01,2.056187073189853365e+01,1.600000000000000000e+01,2.000000000000000000e+00,1.500000000000000000e+01
1.005197028867783160e+03,2.508848253472492473e+01,2.054380165765318722e+01,2.248796225411615168e+01,2.049430860357545114e+01,1.600000000000000000e+01,3.000000000000000000e+00,5.200000000000000000e+01
1.005510434891277214e+03,2.471876665737910983e+01,2.061764979086125038e+01,2.248796225411615168e+01,2.039296795573641319e+01,1.600000000000000000e+01,6.000000000000000000e+00,4.900000000000000000e+01
1.005197028867783160e+03,2.442302325152903819e+01,2.054380165765318722e+01,2.252176318481869188e+01,2.029163036122621833e+01,1.600000000000000000e+01,9.000000000000000000e+00,6.000000000000000000e+00
1.004883622844288880e+03,2.423819684342714709e+01,2.058072552156698265e+01,2.252176318481869188e+01,2.025785184152590546e+01,1.600000000000000000e+01,1.000000000000000000e+01,3.300000000000000000e+01
1.005197028867783160e+03,2.405338060296834612e+01,2.058072552156698265e+01,2.252176318481869188e+01,2.015651831769191205e+01,1.600000000000000000e+01,1.200000000000000000e+01,6.000000000000000000e+00
1.005197028867783160e+03,2.397945695334874827e+01,2.054380165765318722e+01,2.255556445542527655e+01,2.008896433108957424e+01,1.600000000000000000e+01,1.300000000000000000e+01,2.500000000000000000e+01
1.005197028867783160e+03,2.431212618645687584e+01,2.058072552156698265e+01,2.255556445542527655e+01,2.002141170115401536e+01,1.600000000000000000e+01,1.500000000000000000e+01,5.200000000000000000e+01
1.005197028867783160e+03,2.475573641393076585e+01,2.058072552156698265e+01,2.255556445542527655e+01,1.998763589491079173e+01,1.600000000000000000e+01,1.700000000000000000e+01,1.300000000000000000e+01
6.187674018995251117e+02,2.434909146806366209e+01,2.046995514591293031e+01,2.309643102041056295e+01,2.123756667680586929e+01,1.800000000000000000e+01,1.000000000000000000e+00,2.600000000000000000e+01
6.193942139465133323e+02,2.420123278197791805e+01,2.046995514591293031e+01,2.309643102041056295e+01,2.127135503827283358e+01,1.800000000000000000e+01,3.000000000000000000e+00,4.000000000000000000e+01
6.212746500874781077e+02,2.386857452847461047e+01,2.046995514591293031e+01,2.306262430994883772e+01,2.113620362945057707e+01,1.800000000000000000e+01,7.000000000000000000e+00,5.000000000000000000e+01
6.222148681579604954e+02,2.442302325152903819e+01,2.058072552156698265e+01,2.306262430994883772e+01,2.106862996198310611e+01,1.800000000000000000e+01,9.000000000000000000e+00,2.400000000000000000e+01
6.225282741814546625e+02,2.475573641393076585e+01,2.054380165765318722e+01,2.306262430994883772e+01,2.100105765236893518e+01,1.800000000000000000e+01,1.000000000000000000e+01,3.000000000000000000e+01
6.240953042989252708e+02,2.471876665737910983e+01,2.054380165765318722e+01,2.306262430994883772e+01,2.089970173374336682e+01,1.800000000000000000e+01,1.200000000000000000e+01,3.000000000000000000e+00
6.240953042989252708e+02,2.453392397755749244e+01,2.050687819910634246e+01,2.306262430994883772e+01,2.083213281840442477e+01,1.800000000000000000e+01,1.300000000000000000e+01,3.700000000000000000e+01
6.247221163459134914e+02,2.427516131158229129e+01,2.050687819910634246e+01,2.302881793955486600e+01,2.069699906034509596e+01,1.800000000000000000e+01,1.500000000000000000e+01,2.600000000000000000e+01
6.253489283929017120e+02,2.409034303772907037e+01,2.050687819910634246e+01,2.302881793955486600e+01,2.062943421746100725e+01,1.800000000000000000e+01,1.700000000000000000e+01,1.200000000000000000e+01
6.259757404398900462e+02,2.397945695334874827e+01,2.054380165765318722e+01,2.302881793955486600e+01,2.052808949808741801e+01,1.800000000000000000e+01,1.800000000000000000e+01,2.300000000000000000e+01
6.269159585103724339e+02,2.386857452847461047e+01,2.050687819910634246e+01,2.302881793955486600e+01,2.039296795573641319e+01,1.800000000000000000e+01,2.000000000000000000e+01,1.000000000000000000e+00
6.275427705573606545e+02,2.449695666208618405e+01,2.054380165765318722e+01,2.306262430994883772e+01,2.029163036122621833e+01,1.800000000000000000e+01,2.100000000000000000e+01,4.900000000000000000e+01
6.275427705573606545e+02,2.471876665737910983e+01,2.054380165765318722e+01,2.299501190921851190e+01,2.022407366104400950e+01,1.800000000000000000e+01,2.300000000000000000e+01,2.800000000000000000e+01
6.284829886278430422e+02,2.460785982895280100e+01,2.054380165765318722e+01,2.299501190921851190e+01,2.015651831769191205e+01,1.800000000000000000e+01,2.400000000000000000e+01,4.700000000000000000e+01
6.284829886278430422e+02,2.445998975341466419e+01,2.050687819910634246e+01,2.299501190921851190e+01,2.008896433108957424e+01,1.800000000000000000e+01,2.600000000000000000e+01,3.500000000000000000e+01
6.294232066983254299e+02,2.434909146806366209e+01,2.050687819910634246e+01,2.299501190921851190e+01,2.005518784654318765e+01,1.800000000000000000e+01,2.800000000000000000e+01,1.000000000000000000e+00
6.306768307923018710e+02,2.412730587914202118e+01,2.050687819910634246e+01,2.296120621892963953e+01,1.992008529982276599e+01,1.800000000000000000e+01,3.000000000000000000e+01,3.400000000000000000e+01
6.309902368157960382e+02,2.397945695334874827e+01,2.054380165765318722e+01,2.299501190921851190e+01,1.992008529982276599e+01,1.800000000000000000e+01,3.200000000000000000e+01,7.000000000000000000e+00
